M,eta,C,C_frac,seed,DynReg,AvgReg,Mismatch,Stab,CostTot,CostPerStep
1,0.0,0,0.0,0,1659.0451096493275,0.0331809021929865,1.8363208,0.182910058201164,0.0,0.0
1,0.0,0,0.0,1,1892.2766226949036,0.037845532453898,1.6924880000000002,0.1865997319946399,0.0,0.0
1,0.0,0,0.0,2,1973.3800401764663,0.0394676008035293,0.6874928,0.1910494209884198,0.0,0.0
1,0.0,0,0.0,3,1580.6160791144398,0.0316123215822888,1.117376,0.3122894457889157,0.0,0.0
1,0.0,0,0.0,4,1962.1429294823304,0.0392428585896466,1.8671552,0.1367931358627172,0.0,0.0
1,0.0,2500,0.05,0,1731.5407950374115,0.0346308159007482,1.8127048,0.1908358167163343,2500.000000000329,0.0500000000000065
1,0.0,2500,0.05,1,1975.55307014198,0.0395110614028396,1.6574664,0.1919790395807916,2500.000000000329,0.0500000000000065
1,0.0,2500,0.05,2,1868.048934175432,0.0373609786835086,0.60578,0.1757931158623172,2500.000000000329,0.0500000000000065
1,0.0,2500,0.05,3,1517.4353838798354,0.0303487076775967,1.0739352,0.3083205664113282,2500.000000000329,0.0500000000000065
1,0.0,2500,0.05,4,2089.766953472091,0.0417953390694418,1.841312,0.1422388447768955,2500.000000000329,0.0500000000000065
1,0.0,5000,0.1,0,1824.6888547014328,0.0364937770940286,1.7738976000000002,0.2043048860977219,5000.0000000006585,0.1000000000000131
1,0.0,5000,0.1,1,2093.5205616195235,0.0418704112323904,1.6038576,0.204737694753895,5000.0000000006585,0.1000000000000131
1,0.0,5000,0.1,2,1793.658852606392,0.0358731770521278,0.5584744,0.1596031920638413,5000.0000000006585,0.1000000000000131
1,0.0,5000,0.1,3,1404.6982517907174,0.0280939650358143,0.938012,0.2851473029460589,5000.0000000006585,0.1000000000000131
1,0.0,5000,0.1,4,2180.407727801616,0.0436081545560323,1.8182312,0.1455285105702114,5000.0000000006585,0.1000000000000131
1,0.0,10000,0.2,0,2062.934395828153,0.041258687916563,1.6712623999999998,0.2289317786355727,10000.000000001315,0.2000000000000263
1,0.0,10000,0.2,1,2347.0789729399985,0.0469415794587999,1.5003935999999998,0.2245836916738335,10000.000000001315,0.2000000000000263
1,0.0,10000,0.2,2,1655.819221438872,0.0331163844287774,0.4721424000000001,0.1269129382587651,10000.000000001315,0.2000000000000263
1,0.0,10000,0.2,3,1254.601173091337,0.0250920234618267,0.79514,0.2491345826916538,10000.000000001315,0.2000000000000263
1,0.0,10000,0.2,4,2509.2024259222417,0.0501840485184448,1.7447096000000002,0.1651609032180643,10000.000000001315,0.2000000000000263
1,0.1,0,0.0,0,1659.0451096493275,0.0331809021929865,1.8363208,0.182910058201164,0.0,0.0
1,0.1,0,0.0,1,1892.2766226949036,0.037845532453898,1.6924880000000002,0.1865997319946399,0.0,0.0
1,0.1,0,0.0,2,1973.3800401764663,0.0394676008035293,0.6874928,0.1910494209884198,0.0,0.0
1,0.1,0,0.0,3,1580.6160791144398,0.0316123215822888,1.117376,0.3122894457889157,0.0,0.0
1,0.1,0,0.0,4,1962.1429294823304,0.0392428585896466,1.8671552,0.1367931358627172,0.0,0.0
1,0.1,2500,0.05,0,1731.5407950374115,0.0346308159007482,1.8127048,0.1908358167163343,2500.000000000329,0.0500000000000065
1,0.1,2500,0.05,1,1975.55307014198,0.0395110614028396,1.6574664,0.1919790395807916,2500.000000000329,0.0500000000000065
1,0.1,2500,0.05,2,1868.048934175432,0.0373609786835086,0.60578,0.1757931158623172,2500.000000000329,0.0500000000000065
1,0.1,2500,0.05,3,1517.4353838798354,0.0303487076775967,1.0739352,0.3083205664113282,2500.000000000329,0.0500000000000065
1,0.1,2500,0.05,4,2089.766953472091,0.0417953390694418,1.841312,0.1422388447768955,2500.000000000329,0.0500000000000065
1,0.1,5000,0.1,0,1824.6888547014328,0.0364937770940286,1.7738976000000002,0.2043048860977219,5000.0000000006585,0.1000000000000131
1,0.1,5000,0.1,1,2093.5205616195235,0.0418704112323904,1.6038576,0.204737694753895,5000.0000000006585,0.1000000000000131
1,0.1,5000,0.1,2,1793.658852606392,0.0358731770521278,0.5584744,0.1596031920638413,5000.0000000006585,0.1000000000000131
1,0.1,5000,0.1,3,1404.6982517907174,0.0280939650358143,0.938012,0.2851473029460589,5000.0000000006585,0.1000000000000131
1,0.1,5000,0.1,4,2180.407727801616,0.0436081545560323,1.8182312,0.1455285105702114,5000.0000000006585,0.1000000000000131
1,0.1,10000,0.2,0,2062.934395828153,0.041258687916563,1.6712623999999998,0.2289317786355727,10000.000000001315,0.2000000000000263
1,0.1,10000,0.2,1,2347.0789729399985,0.0469415794587999,1.5003935999999998,0.2245836916738335,10000.000000001315,0.2000000000000263
1,0.1,10000,0.2,2,1655.819221438872,0.0331163844287774,0.4721424000000001,0.1269129382587651,10000.000000001315,0.2000000000000263
1,0.1,10000,0.2,3,1254.601173091337,0.0250920234618267,0.79514,0.2491345826916538,10000.000000001315,0.2000000000000263
1,0.1,10000,0.2,4,2509.2024259222417,0.0501840485184448,1.7447096000000002,0.1651609032180643,10000.000000001315,0.2000000000000263
1,0.3,0,0.0,0,1659.0451096493275,0.0331809021929865,1.8363208,0.182910058201164,0.0,0.0
1,0.3,0,0.0,1,1892.2766226949036,0.037845532453898,1.6924880000000002,0.1865997319946399,0.0,0.0
1,0.3,0,0.0,2,1973.3800401764663,0.0394676008035293,0.6874928,0.1910494209884198,0.0,0.0
